name,Justifiable: Divorce,Justifiable: Abortion,Justifiable: Homosexuality,How important is God in your life,Justifiable: Suicide,How many children do you have,How much freedom of choice and control over own life,What age did you compelete your education,year,What Wave question was asked in
Argentina,6.67,3.5,5.59,7.48,2.38,1.79,7.36,23.27,2013,6
Australia,7.06,5.8,6.87,5.07,3.45,1.66,7.69,22.98,2012,6
Brazil,6.2,2.31,4.58,9.5,1.64,1.97,7.69,49.6,2014,6
Belarus,5.32,3.83,2.42,6.51,1.67,1.27,6.91,20.93,2011,6
China,3.52,2.81,2.18,3.47,2.5,1.44,7.13,16.48,2013,6
Colombia,4.25,1.9,3.39,9.63,1.64,1.95,8.16,18.44,2012,6
Estonia,6.14,4.96,3.2,4.3,2.03,1.41,6.35,20.67,2011,6
Germany,6.32,4.5,5.89,5.28,3.31,1.4,6.8,18.19,2013,6
Ghana,2.41,1.62,1.37,9.67,1.46,1.85,7.29,30.1,2012,6
India,1.87,1.62,1.58,8.42,1.57,2.56,6.88,16.09,2012,6
Japan,6.15,4.76,5.14,4.88,2.37,1.57,5.76,19.16,2010,6
South Korea,4.53,3.36,3.28,5.37,2.38,1.58,6.57,21.19,2010,6
Mexico,4.87,2.88,4.19,9.37,2.3,2.26,8.44,18.63,2012,6
Netherlands,7.23,6.5,7.9,4.37,4.4,1.61,6.9,21.46,2012,6
New Zealand,6.64,5.21,5.9,5.39,2.75,2.15,7.8,22.11,2011,6
Nigeria,2.63,2.05,1.9,9.02,2.09,1.83,7.22,21.94,2012,6
Pakistan,2.19,1.49,1.54,9.59,1.47,2.29,7.34,15.43,2012,6
Peru,4.78,2.4,3.7,8.91,2.13,2.01,7.45,19.86,2012,6
Philippines,3.97,3.09,4.47,9.48,2.88,2.84,7.42,19.47,2012,6
Poland,4.94,3.1,3.55,7.95,2.42,1.64,6.67,19.44,2012,6
Qatar,3.36,1.84,1.33,9.84,1.33,3.02,7.93,22.16,2010,6
Russia,6.02,4.36,2.51,6.68,2.03,1.27,5.95,20.75,2011,6
Rwanda,2.56,2.22,1.5,7.7,1.79,1.98,6.85,18.59,2012,6
Slovenia,7.38,6.88,5.24,4.98,3.49,1.51,7.88,19.99,2011,6
South Africa,4.64,4.03,4.24,8.06,4.01,1.48,7.12,18.93,2013,6
Spain,7.52,5.49,7.1,5.1,2.85,1.43,6.95,17.5,2011,6
Sweden,8.27,7.81,8.18,3.65,4.55,1.44,7.62,23.29,2011,6
Thailand,3.44,1.94,2.85,4.23,1.79,1.84,7.53,17.73,2013,6
Turkey,3.18,2.11,1.55,9.26,1.36,1.84,7.35,15.73,2012,6
Egypt,4.94,4.8,5.41,7.77,2.21,1.37,6.36,18.65,2012,6
United States,6.21,3.87,6.28,6.65,3.09,1.69,7.73,23.8,2011,6
Argentina,6.51,3.18,5.3,8.4,2.26,1.95,7.89,19.03,2006,5
Australia,6.66,5.65,5.64,6.12,3.2,2.02,7.64,20.82,2005,5
Brazil,5.63,2.43,4.24,9.62,1.8,1.95,7.74,20.94,2006,5
Belarus,,,,,,,,,,5
China,2.7,2.09,1.62,3.53,1.86,1.68,7.29,16.23,2007,5
Colombia,4.65,1.97,3.71,9.67,1.4,,8.04,18.92,2005,5
Estonia,,missing,,,,,,,,5
Germany,6.67,5.22,6.47,4.47,3.6,1.54,6.8,18.56,2006,5
Ghana,2.78,2.18,1.76,9.78,1.97,1.97,7.09,20.78,2007,5
India,3.91,3.25,3.02,7.52,3.38,2.58,6.73,16.3,2006,5
Japan,6.45,4.59,4.77,5.01,2.88,1.66,6.08,19.54,2005,5
South Korea,4.6,3.52,2.81,5.57,2.93,1.68,6.68,20,2005,5
Mexico,5.25,3.16,4.53,9.43,2.56,2.52,8.38,18.32,2005,5
Netherlands,6.43,5.53,7.18,4.55,3.8,1.47,6.68,19.7,2006,5
New Zealand,6.66,5.27,5.43,5.35,2.95,2.09,7.91,,2004,5
Nigeria,,,,,,,,,,5
Pakistan,,,,,,,,,,5
Peru,,,,,,,,,,5
Philippines,,,,,,,,,,5
Poland,,,,,,,,,,5
Qatar,,,,,,,,,,5
Russia,5.41,4.11,2.46,6.12,2.22,1.33,7.03,20.48,2006,5
Rwanda,2.87,1.74,1.53,9.45,1.69,2.39,6.52,17.71,2007,5
Slovenia,6.96,6.17,4.48,5.42,3.8,1.43,7.49,19.76,2005,5
South Africa,3.85,2.65,2.97,9.13,2.4,1.81,7.61,18.84,2006,5
Spain,7.09,5.52,6.66,5.34,3.06,1.49,6.88,17.77,2007,5
Sweden,8.38,7.85,8.43,3.91,4.39,1.56,7.81,23.97,2006,5
Thailand,3.3,2.46,3.09,7.98,2.43,2.15,6.92,15.92,2007,5
Turkey,,,,,,,,,,5
Egypt,4.97,,,9.91,1.15,2.8,6.07,17.8,2007,5
United States,5.83,4.48,4.57,8.22,2.85,,7.63,23.1,2006,5
Argentina,5.44,2.58,4.33,8.53,1.98,2.18,7.44,18.19,1999,4
Australia,,,,,,,,,,4
Brazil,,,,,,,,,,4
Belarus,,,,,,,,,,4
China,2.92,3.31,1.14,,1.43,1.85,7.15,16.63,2001,4
Colombia,,,,,,,,,,4
Estonia,,,,,,,,,,4
Germany,,,,,,,,,,4
Ghana,,,,,,,,,,4
India,3.9,3.19,3.08,6.73,2.73,3.38,5.65,16.07,2001,4
Japan,6.38,4.73,4.36,5.02,3.03,1.83,6,19.23,2000,4
South Korea,4.58,3.37,2.77,5.48,2.77,1.53,7.14,,2001,4
Mexico,4.53,2.56,3.58,9.45,1.71,2.87,8.19,17.01,2000,4
Netherlands,,,,,,,,,,4
New Zealand,,,,,,,,,,4
Nigeria,2.47,1.68,1.5,9.62,1.62,2.15,7.07,25.59,2000,4
Pakistan,1.89,1.92,1.05,10,1.09,1.77,4.68,,2001,4
Peru,3.83,1.81,2.62,9.18,1.74,2.01,7.23,21.89,2001,4
Philippines,3.19,2.75,3.88,9.59,2.57,2.86,6.84,17.07,2001,4
Poland,,,,,,,,,,4
Qatar,,,,,,,,,,4
Russia,,,,,,,,,,4
Rwanda,,,,,,,,,,4
Slovenia,,,,,,,,,,4
South Africa,4.11,3,3.16,9.09,2.23,1.8,6.78,19.09,2001,4
Spain,6.42,4.87,6.17,5.79,3.14,1.64,6.73,17.04,2000,4
Sweden,7.8,7.38,7.65,4.1,4.12,1.51,7.41,23.68,1999,4
Thailand,,,,,,,,,,4
Turkey,,,,,,,,,,4
Egypt,4.59,2.15,1.01,9.63,1.18,2.53,5.47,18.6,2001,4
United States,5.93,4.39,4.75,8.47,2.67,1.77,7.98,24.14,1999,4
Argentina,5.88,3.41,4.45,8.33,2.16,1.95,7.14,18.27,1995,3
Australia,5.91,4.81,4.6,5.66,3.05,1.66,7.57,19.83,1995,3
Brazil,,,,,,,,,,3
Belarus,5.25,4.65,2.17,5.83,2.18,1.62,5.2,,1996,3
China,5.37,4.02,1.36,,2.89,1.79,6.8,16.83,1995,3
Colombia,4.74,1.94,2.65,9.56,1.64,2,7.89,19.87,1998,3
Estonia,5.96,5.19,2.38,4.4,2.24,1.48,5.98,,1996,3
Germany,6.89,5.54,6.52,4.36,4.64,1.39,6.93,,1997,3
Ghana,,,,,,,,,,3
India,3.05,2.55,1.74,8.3,1.82,2.32,6.61,13.33,1995,3
Japan,5.72,4.35,3.47,4.88,2.57,1.72,5.73,18.71,1995,3
South Korea,4.13,3.37,2.13,,2.83,1.77,,,1996,3
Mexico,4.4,2.72,2.87,8.22,1.94,2.25,7.56,16.78,1996,3
Netherlands,,,,,,,,,,3
New Zealand,6.29,5.08,4.74,5.67,2.86,2.17,7.84,,1998,3
Nigeria,2.55,1.95,1.58,9.6,1.6,2.22,6.9,17.25,1995,3
Pakistan,,,,9.78,,3.33,,,1997,3
Peru,4.55,2.31,3.39,9.02,1.87,2.04,6.85,20.71,1996,3
Philippines,3.31,2.33,3.77,9.66,2.28,2.39,7.04,19.4,1996,3
Poland,4.52,3.5,2.76,,2.32,2.01,,,1997,3
Qatar,,,,,,,,,,3
Russia,5.26,4.94,1.78,5.39,2.11,1.57,5.4,,1995,3
Rwanda,,,,,,,,,,3
Slovenia,6.13,5.66,3.84,5.17,3.6,1.49,6.89,,1995,3
South Africa,3.7,2.45,2.6,9.09,2.05,2.28,6.27,16.9,1996,3
Spain,6.07,4.4,5.46,6.88,2.74,1.74,6.33,15.46,1995,3
Sweden,7.56,7.21,7.03,3.94,4.7,1.56,7.26,21,1996,3
Thailand,,,,,,,,,,3
Turkey,,,,9.4,,2.86,4.45,14.99,,3
Egypt,,,,,,,,,1996,3
United States,5.36,3.95,3.75,8.14,2.29,2.02,7.58,23.75,1995,3